Role,University,Localization,Faculty,Gender,Academic_Age,Age
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. PADOVA,North,SCIENZE STATISTICHE,M,15,50
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. VENEZIA,North,ECONOMIA,M,11,44
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
PA,Univ. PALERMO,Island,ECONOMIA,F,20,49
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
